image_name,category,title
laptop_76.jpg,Laptop,Hp 15.6 inch HD Touchscreen Laptop Student Intel Core i3-1215U
laptop_77.jpg,Laptop,Lenovo IdeaPad Flex 3i Chromebook Laptop
laptop_78.jpg,Laptop,"Microsoft 13"" Surface Laptop Copilot+ PC"
laptop_79.jpg,Laptop,"Samsung - Galaxy Book4 Edge - Copilot+ PC - 14"" AMOLED Touch-Screen Laptop - Snapdragon X Elite 3.4Ghz- 16GB Memory- 512GB Storage - Sapphire Blue"
laptop_80.jpg,Laptop,Dell Inspiron 5440 Laptop Fhd+ Intel Core i5-1334U
laptop_81.jpg,Laptop,Lenovo V15 G4
laptop_82.jpg,Laptop,"HP Essential Laptop Computer 17.3"" HD+ Intel Core i5"
laptop_83.jpg,Laptop,"HP 15.6"" FHD Laptop"
laptop_84.jpg,Laptop,"HP 14"" 2-in-1 Full HD Touch-Screen Chromebook Plus Laptop"
laptop_85.jpg,Laptop,Dell XPS 13 9350
laptop_86.jpg,Laptop,HP 2025 Laptop
laptop_87.jpg,Laptop,"HP ProBook 16"" Intel Core Ultra 7 Laptop"
laptop_88.jpg,Laptop,Acer Swift 14 AI Laptop Copilot+ PC
laptop_89.jpg,Laptop,Microsoft Surface Laptop 6
laptop_90.jpg,Laptop,"Dell Pro Max 16"" FHD Screen Laptop"
laptop_91.jpg,Laptop,"Dell Latitude 14"" FHD Intel Core i7-6600U Laptop"
laptop_92.jpg,Laptop,"HP Chromebook 14"" 14a-nf0000nr Intel N100"
laptop_93.jpg,Laptop,"LG Gram Pro 16"" Laptop"
laptop_94.jpg,Laptop,"HP OmniBook 5 14"" 2K Laptop"
laptop_95.jpg,Laptop,Apple 15-inch MacBook Air M4
laptop_96.jpg,Laptop,"Lenovo IdeaPad 5 14"" WUXGA IPS 2-in-1 Laptop"
laptop_97.jpg,Laptop,"Victus Gaming Laptop 15.6"" AMD Ryzen 7"
laptop_98.jpg,Laptop,"GIGABYTE 16"" AORUS MASTER 16 Gaming Laptop"
laptop_99.jpg,Laptop,"HP Laptop 17-cp3047nr 17.3"" AMD Ryzen 7 Windows 11 Home 7F1Z5UA#ABA"
laptop_100.jpg,Laptop,"HP Envy 16"" AMD Ryzen 7 Laptop"
smartphone_1.jpg,Smartphone,Motorola Moto g 2025
smartphone_2.jpg,Smartphone,TCL 50 XE 5G
smartphone_3.jpg,Smartphone,Samsung Galaxy A15 5G
smartphone_4.jpg,Smartphone,Apple iPhone 16
smartphone_5.jpg,Smartphone,Samsung Galaxy S25
smartphone_6.jpg,Smartphone,Motorola Moto G Play 2024
smartphone_7.jpg,Smartphone,Boost Mobile Summit 5G Prepaid Smartphone
smartphone_8.jpg,Smartphone,Celero3 5G+ 256 GB Twilight Blue
smartphone_9.jpg,Smartphone,BLU View 5
smartphone_10.jpg,Smartphone,OnePlus 13 512GB
smartphone_11.jpg,Smartphone,AT&T Vista 2 Prepaid Smartphone
smartphone_12.jpg,Smartphone,Apple iPhone 14
smartphone_13.jpg,Smartphone,Samsung Galaxy S25+
smartphone_14.jpg,Smartphone,Boost Mobile Celero5G 2024
smartphone_15.jpg,Smartphone,Samsung Galaxy A16 5G Prepaid Smartphone
smartphone_16.jpg,Smartphone,OnePlus 13R 256GB
smartphone_17.jpg,Smartphone,Nothing Phone 3 5G Unlocked Smartphone Glyph
smartphone_18.jpg,Smartphone,Motorola Moto G Power 2025 Prepaid Smartphone
smartphone_19.jpg,Smartphone,Google Pixel 9a 128GB
smartphone_20.jpg,Smartphone,Samsung Galaxy A36 5G
smartphone_21.jpg,Smartphone,Apple iPhone 15
smartphone_22.jpg,Smartphone,Apple iPhone 16 Pro
smartphone_23.jpg,Smartphone,Walmart Apple iPhone 13 Prepaid Smartphone
